movieId,lead_cast,director
29,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork', 'Jean-Claude Dreyfus']","['Jean-Pierre Jeunet', 'Marc Caro']"
30,"['Gong Li', 'Li Baotian', 'Sun Chun', 'Li Xue Jian', 'Liu Jiang']",['Zhang Yimou']
31,"['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance', 'Robin Bartlett', 'John Neville']",['John N. Smith']
32,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer', 'David Morse']",['Terry Gilliam']
34,"['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann', 'Hugo Weaving', 'Miriam Flynn']",['Chris Noonan']
36,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry', 'R. Lee Ermey']",['Tim Robbins']
38,"['Kirstie Alley', 'Steve Guttenberg', 'Ashley Olsen', 'Mary-Kate Olsen', 'Jane Sibbett']",['Andy Tennant']
39,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy', 'Paul Rudd', 'Donald Faison']",['Amy Heckerling']
40,"['James Earl Jones', 'Charles S. Dutton', 'Jack Robinson', 'Tsholofelo Wechoemang', 'Ramalao Makhene']",['Darrell James Roodt']
41,"['Ian McKellen', 'Annette Bening', 'Jim Broadbent', 'Robert Downey Jr.', 'Kristin Scott Thomas']",['Richard Loncraine']
42,"['Larenz Tate', 'Keith David', 'Chris Tucker', 'Freddy Rodríguez', 'Rose Jackson']","['Albert Hughes', 'Allen Hughes']"
43,"['Robert Downey Jr.', 'Meg Ryan', 'Sam Neill', 'David Thewlis', 'Hugh Grant']",['Michael Hoffman']
44,"['Christopher Lambert', 'Robin Shou', 'Linden Ashby', 'Cary-Hiroyuki Tagawa', 'Bridgette Wilson-Sampras']",['Paul W. S. Anderson']
45,"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix', 'Casey Affleck', 'Illeana Douglas']",['Gus Van Sant']
46,"['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn', 'Kate Nelligan', 'Jean Simmons']",['Jocelyn Moorhouse']
47,"['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow', 'R. Lee Ermey', 'John C. McGinley']",['David Fincher']
48,"['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers', 'John Kassir', 'Christian Bale']","['Mike Gabriel', 'Eric Goldberg']"
49,"['Pascale Bussières', 'Rachael Crawford', 'Henry Czerny', 'David Fox', 'Don McKellar']",['Patricia Rozema']
50,"['Gabriel Byrne', 'Stephen Baldwin', 'Kevin Spacey', 'Chazz Palminteri', 'Kevin Pollak']",['Bryan Singer']
52,"['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter', 'F. Murray Abraham', 'Donald Symington']",['Woody Allen']
53,"['Enrico Lo Verso', 'Michele Placido', 'Piro Milkani', 'Carmelo Di Mazzarelli', 'Elida Janushi']",['Gianni Amelio']
54,"['Patrick Renna', ""Olivia d'Abo"", 'Steve Guttenberg', 'Bug Hall', 'Jessica Robertson']",['Holly Goldberg Sloan']
55,"['Jennifer Jason Leigh', 'Mare Winningham', 'Ted Levine', 'Max Perlich', 'John Doe']",['Ulu Grosbard']
57,"['Holly Hunter', 'Robert Downey Jr.', 'Anne Bancroft', 'Charles Durning', 'Dylan McDermott']",['Jodie Foster']
58,"['Massimo Troisi', 'Philippe Noiret', 'Maria Grazia Cucinotta', 'Renato Scarpa', 'Linda Moretti']",['Michael Radford']
60,"['Hal Scardino', 'Litefoot', 'Lindsay Crouse', 'Richard Jenkins', 'Rishi Bhat']",['Frank Oz']
61,"['Sally Field', 'Kiefer Sutherland', 'Ed Harris', ""Beverly D'Angelo"", 'Charlayne Woodard']",['John Schlesinger']
62,"['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas', 'Olympia Dukakis', 'William H. Macy']",['Stephen Herek']
63,"['Shawn Wayans', 'Marlon Wayans', 'Tracey Cherelle Jones', 'Chris Spencer', 'Vivica A. Fox']",['Paris Barclay']
64,"['Sandra Bullock', 'Denis Leary', 'Yaphet Kotto', 'Stephen Dillane', 'Tracey Cherelle Jones']",['Bill Bennett']
65,"['Pauly Shore', 'Stephen Baldwin', 'William Atherton', 'Joey Lauren Adams', 'Teresa Hill']",['Jason Bloom']
66,"['Patrick Bergin', 'Matt Frewer', ""Austin O'Brien"", 'Ely Pouget', 'Camille Cooper']",['Farhad Mann']
68,"['Victoria Abril', 'Josiane Balasko', 'Alain Chabat', 'Ticky Holgado', 'Catherine Hiegel']",['Josiane Balasko']
69,"['Ice Cube', 'Chris Tucker', 'Nia Long', ""Tom 'Tiny' Lister Jr."", 'John Witherspoon']",['F. Gary Gray']
70,"['George Clooney', 'Quentin Tarantino', 'Harvey Keitel', 'Juliette Lewis', 'Ernest Liu']",['Robert Rodriguez']
71,"['William Baldwin', 'Cindy Crawford', 'Steven Berkoff', 'Christopher McDonald', 'Miguel Sandoval']",['Andrew Sipes']
72,"['Josh Hamilton', ""Olivia d'Abo"", 'Chris Eigeman', 'Parker Posey', 'Jason Wiles']",['Noah Baumbach']
73,"['Jean-Paul Belmondo', 'Michel Boujenah', 'Alessandra Martines', 'Salomé Lelouch', 'Annie Girardot']",['Claude Lelouch']
74,"['Christian Slater', 'Mary Stuart Masterson', 'Pamela Adlon', 'Josh Brolin', 'Brian Tarantina']",['Michael Goldenberg']
75,"['Rick Moranis', 'Tom Arnold', 'Julianne Phillips', 'Carol Kane', 'Jeffrey Tambor']",['Steve Miner']
76,"['Peter Weller', 'Jennifer Rubin', 'Roy Dupuis', 'Andrew Lauer', 'Liliana Komorowska']",['Christian Duguay']
77,"['Nico', 'Tina Aumont', 'Christian Aaron Boulogne', 'Jackson Browne', 'John Cale']",['Susanne Ofteringer']
78,"['Jack Nicholson', 'David Morse', 'Anjelica Huston', 'Robin Wright', 'Piper Laurie']",['Sean Penn']
79,"['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt', 'Anne Heche', 'James Gandolfini']",['Brian Gibson']
80,"['Aida Mohammadkhani', 'Mohsen Kafili', 'Fereshteh Sadr Orafaee', 'Anna Borkowska', 'Mohammad Shahani']",['Jafar Panahi']
81,"['Andy García', 'Christopher Lloyd', 'William Forsythe', 'Bill Nunn', 'Treat Williams']",['Gary Fleder']
82,"['Willeke van Ammelrooy', 'Els Dottermans', 'Dora van der Groen', 'Veerle van Overloop', 'Carolien Spoor']",['Marleen Gorris']
83,"['Al Freeman Jr.', 'Phylicia Rashād', 'Paula Kelly', 'Salli Richardson-Whitfield', 'Anna Maria Horsford']",['Tim Reid']
85,"['Mark Rylance', 'Kristin Scott Thomas', 'Patsy Kensit', 'Jeremy Kemp', 'Douglas Henshall']",['Philip Haas']
86,"['Jeff Bridges', 'Caroline Goodall', 'John Savage', 'Scott Wolf', 'Jeremy Sisto']",['Ridley Scott']
87,"['Jason Alexander', 'Faye Dunaway', 'Eric Lloyd', 'Rupert Everett', 'Graham Sack']",['Ken Kwapis']
88,"['Chris Farley', 'David Spade', 'Tim Matheson', 'Gary Busey', 'Chris Owen']",['Penelope Spheeris']
89,"['Johnny Depp', 'Courtney Chase', 'Charles S. Dutton', 'Christopher Walken', 'Roma Maffia']",['John Badham']
92,"['Julia Roberts', 'John Malkovich', 'George Cole', 'Michael Gambon', 'Glenn Close']",['Stephen Frears']
93,"['Eddie Murphy', 'Angela Bassett', 'Allen Payne', 'Kadeem Hardison', 'John Witherspoon']",['Wes Craven']
94,"['Timothy Hutton', 'Matt Dillon', 'Noah Emmerich', 'Annabeth Gish', 'Lauren Holly']",['Ted Demme']
95,"['John Travolta', 'Christian Slater', 'Samantha Mathis', 'Delroy Lindo', 'Frank Whaley']",['John Woo']
96,"['Michael Maloney', 'Richard Briers', 'Joan Collins', 'Nicholas Farrell', 'Julia Sawalha']",['Kenneth Branagh']
97,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui', 'Abdel Ahmed Ghili', 'Souleymane Dicko']",['Mathieu Kassovitz']
99,"['Nick Broomfield', 'Heidi Fleiss', 'Madam Alex', 'Ivan Nagy', 'Corinne Bohrer']",['Nick Broomfield']
100,"['Al Pacino', 'John Cusack', 'Bridget Fonda', 'Danny Aiello', 'Martin Landau']",['Harold Becker']
101,"['Luke Wilson', 'Owen Wilson', 'Robert Musgrave', 'Lumi Cavazos', 'Andrew Wilson']",['Wes Anderson']
102,"['Ellen DeGeneres', 'Bill Pullman', 'Joan Cusack', 'Dean Stockwell', 'Joan Plowright']",['Nick Castle']
103,"['Ray Liotta', 'Linda Fiorentino', 'Peter Coyote', 'Christopher McDonald', 'David Paymer']",['John Dahl']
104,"['Adam Sandler', 'Christopher McDonald', 'Julie Bowen', 'Frances Bay', 'Carl Weathers']",['Dennis Dugan']
105,"['Clint Eastwood', 'Meryl Streep', 'Annie Corley', 'Victor Slezak', 'Jim Haynie']",['Clint Eastwood']
106,"['Maria Schrader', 'Pierre Sanoussi-Bliss', 'Michael von Au', 'Elisabeth Trissenaar', 'Joachim Król']",['Doris Dörrie']
107,"['Tim Curry', 'Billy Connolly', 'Jennifer Saunders', 'Kevin Bishop', 'Dave Goelz']",['Brian Henson']
108,"['Christy Turlington', 'Azzedine Alaïa', 'Giorgio Armani', 'Nadja Auermann', 'Sandra Bernhard']",['Robert Leacock']
110,"['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']",['Mel Gibson']
111,"['Robert De Niro', 'Jodie Foster', 'Albert Brooks', 'Harvey Keitel', 'Leonard Harris']",['Martin Scorsese']
112,"['Jackie Chan', 'Anita Mui', 'Bill Tung', 'Françoise Yip', 'Wakin Chau']",['Stanley Tong']
113,"['Meryl Streep', 'Liam Neeson', 'Edward Furlong', 'Alfred Molina', 'Julia Weldon']",['Barbet Schroeder']
116,"['Kenneth Branagh', 'Glenn Close']",['Jon Blair']
117,"[""Hugh O'Conor"", 'Antony Sher', 'Ruth Sheen', 'Roger Lloyd Pack', 'Charlotte Coleman']",['Benjamin Ross']
118,"['Sarah Jessica Parker', 'Eric Schaeffer', 'Ben Stiller', 'Elle Macpherson', 'James Rebhorn']",['Eric Schaeffer']
119,"['Andy García', 'Alan Arkin', 'Rachel Ticotin', 'Joe Pantoliano', 'Ally Walker']",['Andrew Davis']
121,"['Henry Czerny', 'Johnny Morina', 'Brian Dooley', 'Philip Dinn', 'Brian Dodd']",['John N. Smith']
122,"['Eddie Murphy', 'Robin Givens', 'Halle Berry', 'David Alan Grier', 'Grace Jones']",['Reginald Hudlin']
123,"['Takeshi Kaneshiro', 'Brigitte Lin', 'Tony Leung Chiu-wai', 'Faye Wong', 'Valerie Chow']",['Wong Kar-wai']
125,"['Ben Stiller', 'Patricia Arquette', 'Téa Leoni', 'Mary Tyler Moore', 'George Segal']",['David O. Russell']
126,"['Jason James Richter', 'Melody Kay', 'Jack Black', 'Ryan Bollman', 'Freddie Jones']",['Peter MacDonald']
128,['Maggie Cogan'],['Michel Negroponte']
129,"['Josh Charles', 'Anne Heche', 'John Goodman', 'Christine Lahti', 'Christine Ebersole']",['Bryan Gordon']
132,"['David Caruso', 'Linda Fiorentino', 'Chazz Palminteri', 'Michael Biehn', 'Richard Crenna']",['William Friedkin']
135,"['Kelsey Grammer', 'Lauren Holly', 'Rob Schneider', 'Harry Dean Stanton', 'Bruce Dern']",['David S. Ward']
137,"['Dirk Shafer', 'Mary Stein', 'Claudette Sutherland', 'Cal Bartlett', 'Vivian Paxton']",['Dirk Shafer']
140,"['Robert Redford', 'Michelle Pfeiffer', 'Stockard Channing', 'Joe Mantegna', 'Kate Nelligan']",['Jon Avnet']
141,"['Robin Williams', 'Nathan Lane', 'Dan Futterman', 'Gene Hackman', 'Dianne Wiest']",['Mike Nichols']
144,"['Shari Albert', 'Maxine Bahns', 'Catharine Bolz', 'Connie Britton', 'Edward Burns']",['Edward Burns']
145,"['Martin Lawrence', 'Will Smith', 'Téa Leoni', 'Tchéky Karyo', 'Joe Pantoliano']",['Michael Bay']
146,"['Stephen Lang', 'Ryan Slater', 'Ding Yi', 'Brian Wagner', 'Isabella Hofmann']",['Christopher Cain']
147,"['Leonardo DiCaprio', 'Mark Wahlberg', 'Lorraine Bracco', 'Michael Imperioli', 'Ernie Hudson']",['Scott Kalvert']
148,"['Alan Rickman', 'Hugh Grant', 'Georgina Cates', 'Alun Armstrong', 'Peter Firth']",['Mike Newell']
149,"['Isabelle Huppert', 'Martin Donovan', 'Elina Löwensohn', 'Damian Young', 'Chuck Montgomery']",['Hal Hartley']
150,"['Tom Hanks', 'Bill Paxton', 'Kevin Bacon', 'Gary Sinise', 'Ed Harris']",['Ron Howard']
151,"['Liam Neeson', 'Jessica Lange', 'John Hurt', 'Tim Roth', 'Eric Stoltz']",['Michael Caton-Jones']
152,"['Lili Taylor', 'Christopher Walken', 'Annabella Sciorra', 'Edie Falco', 'Paul Calderon']",['Abel Ferrara']
153,"['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey', 'Nicole Kidman', ""Chris O'Donnell""]",['Joel Schumacher']
154,"['Catherine Deneuve', 'Jean Sorel', 'Michel Piccoli', 'Geneviève Page', 'Pierre Clémenti']",['Luis Buñuel']
155,"['Patricia Arquette', 'U Aung Ko', 'Frances McDormand', 'Spalding Gray', 'Tiara Jacquelina']",['John Boorman']
156,"['Harvey Keitel', 'Lou Reed', 'Michael J. Fox', 'Roseanne Barr', 'Lily Tomlin']","['Wayne Wang', 'Paul Auster']"
157,"['Alan Alda', 'Rhea Perlman', 'John Candy', 'Kevin Pollak', 'Rip Torn']",['Michael Moore']
158,"['Christina Ricci', 'Bill Pullman', 'Malachi Pearson', 'Cathy Moriarty', 'Eric Idle']",['Brad Silberling']
159,"['Harvey Keitel', 'John Turturro', 'Delroy Lindo', 'Mekhi Phifer', 'Isaiah Washington']",['Spike Lee']
160,"['Laura Linney', 'Dylan Walsh', 'Ernie Hudson', 'Tim Curry', 'Grant Heslov']",['Frank Marshall']
161,"['Denzel Washington', 'Gene Hackman', 'Matt Craven', 'George Dzundza', 'Viggo Mortensen']",['Tony Scott']
162,"['Robert Crumb', 'Aline Kominsky', 'Charles Crumb', 'Maxon Crumb', 'Robert Hughes']",['Terry Zwigoff']
163,"['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida', 'Steve Buscemi', 'Cheech Marin']",['Robert Rodriguez']
164,"['Denzel Washington', 'Tom Sizemore', 'Jennifer Beals', 'Don Cheadle', 'Maury Chaykin']",['Carl Franklin']
165,"['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson', 'Graham Greene', 'Colleen Camp']",['John McTiernan']
166,"['Rose McGowan', 'James Duval', 'Johnathon Schaech', 'Cress Williams', 'Dustin Nguyen']",['Gregg Araki']
168,"['Sean Connery', 'Richard Gere', 'Julia Ormond', 'Ben Cross', 'Liam Cunningham']",['Jerry Zucker']
169,"['Jason James Richter', 'Michael Madsen', 'Jayne Atkinson', 'August Schellenberg', 'Mary Kate Schellhardt']",['Dwight H. Little']
170,"['Jonny Lee Miller', 'Angelina Jolie', 'Jesse Bradford', 'Matthew Lillard', 'Renoly Santiago']",['Iain Softley']
171,"['Steven Weber', 'Patrick Stewart', 'Michael T. Weiss', 'Sigourney Weaver', 'Robert Klein']",['Christopher Ashley']
172,"['Keanu Reeves', 'Dina Meyer', 'Takeshi Kitano', 'Ice-T', 'Dolph Lundgren']",['Robert Longo']
173,"['Sylvester Stallone', 'Diane Lane', 'Armand Assante', 'Rob Schneider', 'Jürgen Prochnow']",['Danny Cannon']
174,"['Pauly Shore', 'Tia Carrere', 'Stanley Tucci', 'Richard Riehle', 'Shelley Winters']",['John Fortenberry']
175,"['Leo Fitzpatrick', 'Justin Pierce', 'Chloë Sevigny', 'Rosario Dawson', 'Yakira Peguero']",['Larry Clark']
176,"['Steve Buscemi', 'Catherine Keener', 'Dermot Mulroney', 'Danielle von Zerneck', 'James Le Gros']",['Tom DiCillo']
177,"['Scott Bakula', ""Kevin J. O'Connor"", 'Famke Janssen', 'Joel Swetow', 'Daniel von Bargen']",['Clive Barker']
178,"['Thomas Gibson', 'Ruth Marshall', 'Cameron Bancroft', 'Mia Kirshner', 'Joanne Vannicola']",['Denys Arcand']
179,"[""Chris O'Donnell"", 'Drew Barrymore', 'Matthew Lillard', 'Richard Chaim', 'Robert Nadir']",['Antonia Bird']
180,"['Jason Lee', 'Jeremy London', 'Shannen Doherty', 'Claire Forlani', 'Ben Affleck']",['Kevin Smith']
181,"['Jason David Frank', 'Steve Cardenas', 'Amy Jo Johnson', 'David Yost', 'Johnny Yong Bosch']",['Bryan Spicer']
183,"['Marina Zudina', 'Fay Ripley', 'Evan Richards', 'Igor Volkov', 'Sergei Karlenkov']",['Anthony Waller']
184,"['Suzy Amis', 'Galaxy Craze', 'Martin Donovan', 'Peter Fonda', 'Karl Geary']",['Michael Almereyda']
185,"['Sandra Bullock', 'Jeremy Northam', 'Dennis Miller', 'Wendy Gazelle', 'Ken Howard']",['Irwin Winkler']
186,"['Hugh Grant', 'Julianne Moore', 'Tom Arnold', 'Joan Cusack', 'Jeff Goldblum']",['Chris Columbus']
187,"['Parker Posey', 'Anthony DeSando', 'Guillermo Díaz', 'Donna Mitchell', 'Liev Schreiber']",['Daisy von Scherler Mayer']
188,"['Christopher Walken', 'Elias Koteas', 'Virginia Madsen', 'Eric Stoltz', 'Viggo Mortensen']",['Gregory Widen']
189,"['Mia Farrow', 'Scott Glenn', 'Mary-Louise Parker', 'Tony Goldwyn', 'Stephen Dorff']",['Norman René']
190,"['Julianne Moore', 'Peter Friedman', 'Xander Berkeley', 'James Le Gros', 'Susan Norman']",['Todd Haynes']
191,"['Demi Moore', 'Gary Oldman', 'Robert Duvall', 'Robert Prosky', 'Edward Hardwicke']",['Roland Joffé']
193,"['Elizabeth Berkley', 'Kyle MacLachlan', 'Gina Gershon', 'Glenn Plummer', 'Robert Davi']",['Paul Verhoeven']
194,"['Harvey Keitel', 'William Hurt', 'Stockard Channing', 'Harold Perrineau', 'Forest Whitaker']","['Wayne Wang', 'Paul Auster']"
195,"['Julia Roberts', 'Dennis Quaid', 'Robert Duvall', 'Gena Rowlands', 'Kyra Sedgwick']",['Lasse Hallström']
196,"['Natasha Henstridge', 'Ben Kingsley', 'Michael Madsen', 'Marg Helgenberger', 'Alfred Molina']",['Roger Donaldson']
198,"['Ralph Fiennes', 'Angela Bassett', 'Juliette Lewis', 'Tom Sizemore', 'Michael Wincott']",['Kathryn Bigelow']
199,"['Catherine Deneuve', 'Nino Castelnuovo', 'Anne Vernon', 'Mireille Perrey', 'Marc Michel']",['Jacques Demy']
201,"['Patrick Swayze', 'Mary Elizabeth Mastrantonio', 'Joseph Mazzello', 'David Marshall Grant', 'Jay O. Sanders']",['Martha Coolidge']
202,"['Leonardo DiCaprio', 'David Thewlis', 'Romane Bohringer', 'Dominique Blanc', 'Nita Klein']",['Agnieszka Holland']
203,"['Patrick Swayze', 'Wesley Snipes', 'John Leguizamo', 'Stockard Channing', 'Blythe Danner']",['Beeban Kidron']
204,"['Steven Seagal', 'Eric Bogosian', 'Katherine Heigl', 'Morris Chestnut', 'Everett McGill']",['Geoff Murphy']
205,"['Andie MacDowell', 'John Turturro', 'Michael Richards', 'Maury Chaykin', 'Nathan Watt']",['Diane Keaton']
206,"['Isaac Mizrahi', 'Sandra Bernhard', 'Naomi Campbell', 'John Galliano', 'Kate Moss']",['Douglas Keeve']
207,"['Keanu Reeves', 'Aitana Sánchez-Gijón', 'Anthony Quinn', 'Angélica Aragón', 'Evangelina Elizondo']",['Alfonso Arau']
208,"['Kevin Costner', 'Dennis Hopper', 'Jeanne Tripplehorn', 'Tina Majorino', 'R. D. Call']",['Kevin Reynolds']
209,"['John Travolta', 'Harry Belafonte', 'Kelly Lynch', 'Margaret Avery', 'Tom Bower']",['Desmond Nakano']
210,"['Jeff Bridges', 'Ellen Barkin', 'John Hurt', 'Diane Lane', 'Keith Carradine']",['Walter Hill']
211,"['Albert Finney', 'Greta Scacchi', 'Matthew Modine', 'Julian Sands', 'Michael Gambon']",['Mike Figgis']
212,"['Daniel Stern', 'Jon Polito', 'Brad Sullivan', 'Ann Dowd', 'Anthony Heald']",['Greg Beeman']
213,"['Nikita Mikhalkov', 'Oleg Menshikov', 'Ingeborga Dapkūnaitė', 'Vyacheslav Tikhonov', 'Nadezhda Mikhalkova']",['Nikita Mikhalkov']
214,"['Katrin Cartlidge', 'Rade Šerbedžija', 'Grégoire Colin', 'Labina Mitevska', 'Phyllida Law']",['Milcho Manchevski']
215,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert', 'Hanno Pöschl', 'Haymon Maria Buttinger']",['Richard Linklater']
216,"['Adam Sandler', 'Bradley Whitford', 'Josh Mostel', 'Bridgette Wilson-Sampras', 'Darren McGavin']",['Tamra Davis']
217,"['Alicia Silverstone', 'Jeremy London', 'J.T. Walsh', 'Nicky Katt', 'Lee Garlington']",['Guy Ferland']
218,"['Whoopi Goldberg', 'Mary-Louise Parker', 'Drew Barrymore', 'Matthew McConaughey', 'James Remar']",['Herbert Ross']
219,"['Joseph Mazzello', 'Brad Renfro', 'Annabella Sciorra', 'Diana Scarwid', 'Bruce Davison']",['Peter Horton']
220,"['Jeffrey Combs', 'Barbara Crampton', 'Jonathan Fuller', 'Jessica Dollarhide', 'Massimo Sarchielli']",['Stuart Gordon']
222,"[""Chris O'Donnell"", 'Minnie Driver', ""Geraldine O'Rawe"", 'Saffron Burrows', 'Alan Cumming']","[""Pat O'Connor""]"
223,"[""Brian O'Halloran"", 'Jeff Anderson', 'Jason Mewes', 'Kevin Smith', 'Lisa Spoonauer']",['Kevin Smith']
224,"['Johnny Depp', 'Marlon Brando', 'Faye Dunaway', 'Géraldine Pailhas', 'Bob Dishy']",['Jeremy Leven']
225,"['Michael Douglas', 'Demi Moore', 'Donald Sutherland', 'Dylan Baker', 'Jacqueline Kim']",['Barry Levinson']
227,"['Wesley Snipes', 'Gary Busey', 'Yancy Butler', 'Michael Jeter', 'Corin Nemec']",['John Badham']
228,"['Dylan McDermott', 'Nancy Travis', 'Quentin Tarantino', 'Jim Belushi', 'James Le Gros']",['Jack Baran']
229,"['Sigourney Weaver', 'Ben Kingsley', 'Stuart Wilson', 'Krystia Mova', 'Jonathan Vega']",['Roman Polanski']
230,"['Kathy Bates', 'Jennifer Jason Leigh', 'Judy Parfitt', 'Christopher Plummer', 'David Strathairn']",['Taylor Hackford']
231,"['Jim Carrey', 'Jeff Daniels', 'Lauren Holly', 'Teri Garr', 'Charles Rocket']",['Peter Farrelly']
232,"['Sihung Lung', 'Yang Kuei-Mei', 'Wu Chien-Lien', 'Yu-Wen Wang', 'Winston Chao']",['Ang Lee']
233,"['Bruce Greenwood', 'Mia Kirshner', 'Elias Koteas', 'Don McKellar', 'Sarah Polley']",['Atom Egoyan']
234,"['Dana Delany', 'Paul Mercurio', ""Rosie O'Donnell"", 'Dan Aykroyd', 'Hector Elizondo']",['Garry Marshall']
235,"['Johnny Depp', 'Martin Landau', 'Sarah Jessica Parker', 'Patricia Arquette', 'Jeffrey Jones']",['Tim Burton']
236,"['Meg Ryan', 'Kevin Kline', 'Timothy Hutton', 'Jean Reno', 'Adam Brooks']",['Lawrence Kasdan']
237,"['Billy Crystal', 'Debra Winger', 'Joe Mantegna', 'Cynthia Stevenson', 'Richard Masur']",['Billy Crystal']
238,"['Mimi Rogers', 'Jesse Bradford', 'Bruce Davison', 'Tom Bower', 'Joel Palmer']",['Phillip Borsos']
239,"['Bill Farmer', 'Jason Marsden', 'Rob Paulsen', 'Jim Cummings', 'Kellie Martin']",['Kevin Lima']
240,"['Jeff Goldblum', 'Christine Lahti', 'Alicia Silverstone', 'Jeremy Sisto', 'Alfred Molina']",['Brett Leonard']
241,"['Matthew Modine', 'Nancy Travis', 'Eric Stoltz', 'Max Pomeranc', 'Ron Perlman']",['Carlo Carlei']
